STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2018,fips,lat,long,year55andolder,DMPercentage,hospcount,icubeds,60yrsandolder,plus_pct,RUCA,ruca3gp,Smokers,PrimaryCarePhysicians,PCP,PCPRatio,pctobesity,ruca2gp,Rural,age25_49,tot_pop,tot_male,tot_female,whites,black,lesshighschool,highschooldiploma,somecollegeandassociate,bachelorsandhigher,povertycounts,medianhouseholdinc,associationcount,associationrate, FairPoor Health,Physically Unhealthy Days,Diabetic
1,1,Alabama,Autauga County,55601,1001,32.539528,-86.644081,15817,9.9,1,6,10523,0.191,1,Metropolitan,19,23,41.50426,2409:01:00,37.5,Metropolitan/Urban,0,22187,55601,26995,28606,42660,10915,11.3,32.6,28.4,27.7,7587,59338,70,12.63173091,18,4.2,14
1,3,Alabama,Baldwin County,218022,1003,30.727751,-87.722069,75980,8.5,3,51,53519,0.263,3,Metropolitan,17,152,72.87966,1372:01:00,31,Metropolitan/Urban,0,79264,218022,105657,112365,190301,19492,9.7,27.6,31.3,31.3,21069,57588,223,10.6922129,18,4.1,11
1,5,Alabama,Barbour County,24881,1005,31.868263,-85.387131,8043,15.7,1,5,6150,0.235,8,Rural and Small towns,22,10,38.51338,2597:01:00,44.3,"Low comuting micropolitan, Rural and Small towns",1,9674,24881,13133,11748,12209,12042,27,35.7,25.1,12.2,6788,34382,22,8.472944348,26,5.1,18
1,7,Alabama,Bibb County,22400,1007,32.996422,-87.125114,6587,13.3,1,0,4773,0.211,2,Metropolitan,20,13,57.41289,1742:01:00,37.8,Metropolitan/Urban,0,9458,22400,11921,10479,17211,4770,16.8,47.3,24.4,11.5,4400,46064,23,10.15766462,20,4.4,15
1,9,Alabama,Blount County,57840,1009,33.982109,-86.567909,18178,14.9,1,6,13600,0.236,5,Micropolitan,20,13,22.52877,4439:01:00,34.4,Metropolitan/Urban,1,21819,57840,28500,29340,55456,950,19.8,34,33.5,12.6,7527,50412,52,9.011507001,21,4.5,14
1,11,Alabama,Bullock County,10138,1011,32.100304,-85.712654,3091,22.4,1,0,2371,0.226,2,Metropolitan,23,3,28.95194,3454:01:00,39.4,Metropolitan/Urban,0,4093,10138,5527,4611,2661,7168,24.8,39.7,22.3,13.3,3610,29267,10,9.650646593,29,5.2,20
1,13,Alabama,Butler County,19680,1013,31.753,-86.680573,6796,16.9,1,7,5151,0.256,7,Rural and Small towns,22,6,30.003,3333:01:00,40.2,"Low comuting micropolitan, Rural and Small towns",1,6982,19680,9165,10515,10283,8839,15.4,43.9,24.6,16.1,4731,37365,23,11.50115012,27,5.1,18
1,15,Alabama,Calhoun County,114277,1015,33.774837,-85.826302,36205,15.6,2,24,27115,0.235,2,Metropolitan,20,74,64.56623,1549:01:00,37.1,Metropolitan/Urban,0,43008,114277,54914,59363,86026,24153,15.9,32.4,33.7,18,21719,45400,164,14.30927223,20,4.3,16
1,17,Alabama,Chambers County,33615,1017,32.913601,-85.390724,11512,17.5,0,0,8501,0.251,4,Micropolitan,22,17,50.23195,1991:01:00,40.3,Metropolitan/Urban,1,12415,33615,16093,17522,19182,13446,18.6,38.4,29.7,13.2,6181,39917,60,17.72892474,25,5.0,17
1,19,Alabama,Cherokee County,26032,1019,34.178059,-85.606392,10080,12.2,1,0,7513,0.291,3,Metropolitan,19,9,34.98542,2858:01:00,36.3,Metropolitan/Urban,0,9113,26032,12896,13136,24217,1109,19.8,38.3,29,12.9,4180,42132,26,10.1068999,19,4.3,14
