V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29
7.194115214,10.79117282,10.79117282,10.79117282,10.79117282,10.79117282,12.58970162,14.38823043,17.98528803,21.58234564,21.58234564,21.58234564,21.58234564,21.58234564,19.78381684,25.17940325,28.77646086,32.37351846,32.37351846,30.57498966,34.17204727,37.76910487,44.96322009,44.96322009,43.16469128,43.16469128,44.96322009,48.56027769,50.3588065
1.834677234,2.293346543,2.293346543,4.586693086,6.880039629,7.797378246,8.256047555,8.714716863,10.5493941,12.38407133,12.38407133,12.84274064,16.97076442,18.80544165,19.72278027,24.76814266,27.06148921,29.81350506,31.64818229,32.1068516,39.44556054,40.36289916,45.40826155,44.03225363,46.78426948,49.07761602,52.28830118,54.58164772,57.33366358
0,0,0,0,0,0,0,0,0,4.019131064,8.038262128,8.038262128,8.038262128,12.05739319,12.05739319,16.07652426,36.17217957,36.17217957,40.19131064,40.19131064,44.2104417,48.22957277,56.26783489,60.28696596,72.34435915,80.38262128,88.42088341,112.5356698,116.5548009
0,0,0,0,0,8.928571429,13.39285714,13.39285714,17.85714286,17.85714286,17.85714286,22.32142857,31.25,35.71428571,40.17857143,40.17857143,49.10714286,58.03571429,71.42857143,75.89285714,75.89285714,80.35714286,98.21428571,107.1428571,116.0714286,116.0714286,138.3928571,142.8571429,147.3214286
1.728907331,3.457814661,6.915629322,8.644536653,8.644536653,8.644536653,8.644536653,8.644536653,10.37344398,15.56016598,17.28907331,17.28907331,17.28907331,17.28907331,17.28907331,19.01798064,20.74688797,20.74688797,22.4757953,24.20470263,25.93360996,27.66251729,27.66251729,32.84923928,34.57814661,36.30705394,38.03596127,44.95159059,48.40940526
0,19.72775695,19.72775695,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,29.59163543,39.45551391,39.45551391,39.45551391,49.31939239,78.91102782,59.18327086,78.91102782,69.04714934,88.77490629,88.77490629,108.5026632,108.5026632,108.5026632
5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,5.081300813,10.16260163,10.16260163,15.24390244,15.24390244,30.48780488,35.56910569,40.6504065,35.56910569,45.73170732,55.89430894,55.89430894,66.05691057,71.13821138,71.13821138,76.2195122,86.38211382
1.750133448,1.750133448,2.625200172,2.625200172,2.625200172,7.000533791,7.875600515,9.625733962,10.50080069,15.75120103,18.3764012,20.12653465,29.75226861,35.00266895,42.87826947,46.37853636,47.25360309,49.87880326,50.75386998,53.37907015,54.25413688,54.25413688,53.37907015,55.1292036,56.00427033,56.00427033,67.38013774,68.25520446,70.88040463
29.74862413,38.67321136,38.67321136,50.57266101,80.32128514,89.24587238,98.17045962,113.0447717,187.416332,226.0895434,243.9387178,246.9135802,261.7878923,279.6370668,297.4862413,425.405325,496.8020229,511.676335,565.2238584,597.9473449,603.8970698,618.7713818,657.4445932,657.4445932,651.4948684,678.2686301,716.9418414,713.966979,681.2434925
3.841425937,3.841425937,3.841425937,3.841425937,7.682851875,7.682851875,7.682851875,7.682851875,15.36570375,19.20712969,23.04855562,23.04855562,23.04855562,23.04855562,26.88998156,26.88998156,26.88998156,26.88998156,30.7314075,34.57283344,30.7314075,34.57283344,42.25568531,46.09711125,42.25568531,46.09711125,46.09711125,49.93853719,42.25568531
2.264851765,9.059407062,13.58911059,15.85396236,15.85396236,22.64851765,24.91336942,29.44307295,31.70792472,33.97277648,33.97277648,33.97277648,43.03218354,45.29703531,45.29703531,56.62129414,58.8861459,67.94555296,67.94555296,74.74010826,72.47525649,72.47525649,79.26981179,81.53466356,88.32921885,86.06436709,95.12377415,95.12377415,101.9183294
0,7.787555486,7.787555486,7.787555486,7.787555486,15.57511097,23.36266646,31.15022195,31.15022195,31.15022195,31.15022195,38.93777743,38.93777743,46.72533292,46.72533292,46.72533292,46.72533292,62.30044389,77.87555486,77.87555486,93.45066584,85.66311035,101.2382213,101.2382213,109.0257768,101.2382213,124.6008878,132.3884433,163.5386652
0,0,0,0,0,0,0,0,8.361204013,12.54180602,25.08361204,33.44481605,37.62541806,41.80602007,41.80602007,50.16722408,54.34782609,62.7090301,79.43143813,79.43143813,87.79264214,87.79264214,100.3344482,100.3344482,100.3344482,100.3344482,100.3344482,100.3344482,91.97324415
7.532956685,7.532956685,7.532956685,15.06591337,15.06591337,15.06591337,15.06591337,15.06591337,45.19774011,60.26365348,60.26365348,67.79661017,67.79661017,67.79661017,75.32956685,82.86252354,82.86252354,90.39548023,105.4613936,105.4613936,97.92843691,105.4613936,105.4613936,97.92843691,128.0602637,135.5932203,143.126177,143.126177,112.9943503
